gm102b,gm302b,gm502b,gm702b,time(sec)
3.87,3.84,3.8,2.2,683
3.87,3.83,3.8,2.19,684
3.87,3.83,3.8,2.2,685
3.87,3.84,3.8,2.19,686
3.87,3.84,3.79,2.2,687
3.89,3.85,3.8,2.22,688
3.9,3.85,3.81,2.23,689
3.89,3.85,3.8,2.22,690
3.88,3.84,3.81,2.21,691
3.88,3.84,3.81,2.21,692
3.88,3.84,3.81,2.21,693
3.88,3.84,3.8,2.2,694
3.87,3.84,3.8,2.19,695
3.87,3.84,3.8,2.19,696
3.87,3.83,3.8,2.18,697
3.87,3.83,3.79,2.18,698
3.87,3.83,3.8,2.19,699
3.87,3.84,3.8,2.2,700
3.87,3.84,3.8,2.19,701
3.87,3.83,3.79,2.19,702
3.86,3.83,3.79,2.19,703
3.87,3.84,3.79,2.2,704
3.87,3.84,3.79,2.2,705
3.88,3.84,3.8,2.21,706
3.87,3.84,3.8,2.2,707
3.87,3.84,3.8,2.2,708
3.86,3.84,3.79,2.19,709
3.86,3.83,3.8,2.2,710
3.86,3.84,3.8,2.2,711
3.86,3.84,3.8,2.2,712
3.87,3.84,3.8,2.2,713
3.87,3.84,3.8,2.2,714
3.86,3.83,3.8,2.19,715
3.87,3.83,3.8,2.2,716
3.87,3.84,3.8,2.21,717
3.87,3.84,3.8,2.22,718
3.87,3.84,3.81,2.21,719
3.87,3.83,3.81,2.21,720
3.86,3.83,3.8,2.18,721
3.86,3.83,3.8,2.18,722
3.86,3.83,3.8,2.18,723
3.86,3.83,3.79,2.18,724
3.86,3.83,3.79,2.17,725
3.85,3.82,3.78,2.17,726
3.86,3.82,3.79,2.18,727
3.86,3.82,3.78,2.19,728
3.86,3.82,3.79,2.18,729
3.85,3.82,3.78,2.17,730
3.84,3.81,3.78,2.16,731
3.84,3.82,3.78,2.17,732
3.85,3.82,3.78,2.18,733
3.86,3.83,3.78,2.19,734
3.87,3.83,3.78,2.2,735
3.87,3.83,3.79,2.21,736
3.88,3.83,3.8,2.22,737
3.88,3.84,3.8,2.22,738
3.88,3.83,3.8,2.21,739
3.88,3.84,3.8,2.22,740
3.87,3.83,3.8,2.22,741
3.86,3.83,3.81,2.2,742
3.85,3.82,3.8,2.19,743
3.84,3.82,3.79,2.18,744
3.84,3.82,3.79,2.17,745
3.84,3.82,3.78,2.16,746
3.85,3.82,3.78,2.18,747
3.86,3.82,3.78,2.19,748
3.87,3.83,3.79,2.2,749
3.87,3.83,3.79,2.21,750
3.87,3.83,3.79,2.21,751
3.87,3.83,3.8,2.2,752
3.86,3.83,3.8,2.2,753
3.86,3.83,3.8,2.21,754
3.86,3.83,3.8,2.2,755
3.86,3.83,3.8,2.2,756
3.85,3.83,3.79,2.19,757
3.87,3.83,3.79,2.2,758
3.87,3.83,3.79,2.19,759
3.86,3.82,3.79,2.18,760
3.85,3.82,3.79,2.19,761
3.86,3.83,3.79,2.19,762
3.86,3.83,3.79,2.19,763
3.86,3.82,3.79,2.19,764
3.85,3.82,3.79,2.19,765
3.85,3.82,3.78,2.17,766
3.85,3.82,3.79,2.17,767
3.86,3.82,3.79,2.19,768
3.86,3.82,3.78,2.21,769
3.87,3.83,3.79,2.21,770
3.87,3.83,3.8,2.21,771
