gm102b,gm302b,gm502b,gm702b,time(sec)
3.16,3.18,3.12,1.49,402
3.15,3.19,3.13,1.5,403
3.15,3.18,3.12,1.49,404
3.15,3.19,3.12,1.49,405
3.15,3.19,3.12,1.5,406
3.15,3.19,3.12,1.5,407
3.15,3.19,3.12,1.5,408
3.15,3.18,3.12,1.5,409
3.15,3.18,3.13,1.5,410
3.15,3.18,3.13,1.5,411
3.15,3.18,3.12,1.5,412
3.15,3.18,3.13,1.5,413
3.15,3.18,3.13,1.5,414
3.15,3.18,3.13,1.5,415
3.15,3.18,3.13,1.5,416
3.15,3.19,3.13,1.5,417
3.15,3.18,3.13,1.5,418
3.15,3.18,3.13,1.5,419
3.16,3.19,3.13,1.5,420
3.16,3.19,3.13,1.5,421
3.16,3.19,3.13,1.51,422
3.16,3.19,3.13,1.5,423
3.16,3.19,3.14,1.5,424
3.16,3.19,3.14,1.5,425
3.16,3.19,3.14,1.5,426
3.17,3.19,3.14,1.5,427
3.17,3.2,3.14,1.5,428
3.17,3.2,3.14,1.51,429
3.17,3.2,3.14,1.5,430
3.17,3.2,3.14,1.5,431
3.17,3.2,3.14,1.5,432
3.17,3.2,3.15,1.51,433
3.17,3.2,3.14,1.51,434
3.17,3.2,3.14,1.51,435
3.17,3.2,3.15,1.51,436
3.17,3.2,3.15,1.5,437
3.17,3.2,3.15,1.51,438
3.17,3.2,3.15,1.51,439
3.17,3.2,3.15,1.51,440
3.17,3.2,3.15,1.51,441
3.17,3.2,3.15,1.51,442
3.17,3.2,3.15,1.51,443
3.17,3.2,3.15,1.51,444
3.17,3.2,3.15,1.51,445
3.17,3.2,3.15,1.51,446
3.17,3.2,3.15,1.51,447
3.17,3.2,3.15,1.51,448
3.17,3.2,3.16,1.51,449
3.17,3.2,3.15,1.51,450
3.17,3.2,3.16,1.51,451
3.17,3.21,3.15,1.51,452
3.17,3.21,3.16,1.52,453
3.17,3.21,3.16,1.51,454
3.17,3.2,3.16,1.51,455
3.17,3.21,3.16,1.51,456
3.17,3.2,3.16,1.52,457
3.17,3.21,3.16,1.51,458
3.17,3.21,3.16,1.51,459
3.18,3.21,3.16,1.52,460
3.17,3.21,3.16,1.52,461
3.17,3.21,3.16,1.51,462
3.17,3.21,3.16,1.52,463
3.18,3.21,3.17,1.52,464
3.17,3.21,3.17,1.52,465
3.17,3.21,3.16,1.51,466
3.17,3.21,3.16,1.51,467
3.18,3.21,3.16,1.51,468
3.17,3.22,3.17,1.51,469
3.18,3.21,3.16,1.51,470
3.17,3.21,3.16,1.52,471
3.17,3.21,3.17,1.52,472
3.17,3.21,3.16,1.52,473
3.17,3.21,3.17,1.52,474
3.17,3.21,3.17,1.52,475
3.17,3.22,3.17,1.52,476
3.17,3.21,3.17,1.52,477
3.17,3.21,3.17,1.52,478
3.18,3.21,3.17,1.52,479
3.17,3.21,3.17,1.52,480
3.17,3.22,3.17,1.52,481
3.17,3.22,3.17,1.52,482
3.17,3.21,3.17,1.52,483
3.17,3.22,3.17,1.52,484
3.18,3.22,3.17,1.52,485
3.18,3.21,3.17,1.52,486
3.18,3.21,3.17,1.52,487
3.18,3.22,3.17,1.52,488
3.17,3.22,3.17,1.52,489
3.17,3.22,3.17,1.52,490
3.18,3.21,3.17,1.52,491
3.17,3.22,3.17,1.52,492
3.17,3.22,3.17,1.52,493
3.17,3.22,3.17,1.52,494
3.17,3.22,3.17,1.52,495
3.17,3.22,3.17,1.52,496
3.17,3.22,3.17,1.52,497
3.17,3.22,3.17,1.52,498
3.18,3.22,3.17,1.52,499
3.18,3.22,3.18,1.52,500
3.18,3.22,3.17,1.52,501
3.18,3.22,3.17,1.52,502
3.18,3.22,3.18,1.52,503
3.18,3.22,3.17,1.52,504
3.18,3.22,3.17,1.52,505
3.18,3.22,3.18,1.52,506
3.18,3.22,3.18,1.52,507
3.18,3.22,3.18,1.52,508
3.18,3.22,3.18,1.52,509
3.18,3.22,3.18,1.52,510
3.18,3.22,3.18,1.52,511
3.18,3.22,3.18,1.52,512
3.18,3.22,3.18,1.52,513
3.18,3.22,3.18,1.52,514
3.18,3.22,3.18,1.52,515
3.18,3.22,3.18,1.52,516
3.18,3.22,3.18,1.52,517
3.19,3.23,3.18,1.52,518
3.19,3.23,3.18,1.52,519
3.19,3.23,3.19,1.52,520
3.19,3.23,3.19,1.52,521
3.19,3.23,3.19,1.52,522
3.19,3.23,3.19,1.52,523
3.19,3.23,3.18,1.52,524
3.19,3.23,3.19,1.52,525
3.18,3.23,3.19,1.52,526
3.18,3.23,3.19,1.52,527
3.18,3.23,3.19,1.52,528
3.18,3.23,3.19,1.52,529
3.18,3.23,3.19,1.52,530
3.18,3.23,3.19,1.52,531
3.19,3.23,3.19,1.52,532
3.19,3.23,3.19,1.52,533
3.19,3.24,3.19,1.52,534
3.19,3.23,3.19,1.52,535
3.19,3.24,3.19,1.52,536
3.19,3.23,3.19,1.52,537
3.19,3.24,3.19,1.52,538
3.19,3.23,3.19,1.52,539
3.19,3.23,3.19,1.52,540
3.19,3.24,3.19,1.52,541
3.19,3.24,3.2,1.52,542
3.19,3.24,3.19,1.52,543
3.19,3.24,3.2,1.52,544
3.19,3.24,3.19,1.53,545
3.19,3.24,3.19,1.52,546
3.19,3.24,3.2,1.53,547
3.19,3.24,3.2,1.53,548
3.19,3.24,3.2,1.53,549
3.19,3.24,3.2,1.52,550
3.19,3.24,3.2,1.52,551
3.19,3.24,3.2,1.52,552
3.2,3.24,3.2,1.52,553
3.19,3.24,3.2,1.53,554
3.19,3.24,3.2,1.53,555
3.19,3.24,3.2,1.52,556
3.19,3.24,3.2,1.52,557
3.19,3.24,3.2,1.53,558
3.19,3.24,3.2,1.53,559
3.19,3.24,3.2,1.52,560
3.19,3.24,3.2,1.52,561
3.19,3.24,3.2,1.53,562
3.19,3.24,3.2,1.53,563
3.19,3.24,3.2,1.53,564
3.19,3.24,3.2,1.53,565
3.19,3.24,3.2,1.53,566
3.19,3.24,3.2,1.52,567
3.19,3.24,3.2,1.52,568
3.19,3.24,3.2,1.52,569
3.18,3.24,3.2,1.53,570
3.18,3.24,3.2,1.52,571
3.18,3.24,3.2,1.52,572
3.18,3.23,3.2,1.52,573
3.18,3.24,3.2,1.52,574
3.18,3.24,3.2,1.52,575
3.18,3.23,3.2,1.52,576
3.19,3.24,3.2,1.52,577
3.19,3.23,3.2,1.52,578
3.19,3.24,3.2,1.53,579
3.19,3.24,3.2,1.53,580
3.19,3.24,3.21,1.53,581
3.19,3.24,3.2,1.52,582
3.19,3.24,3.2,1.53,583
3.19,3.24,3.21,1.53,584
3.19,3.24,3.2,1.53,585
3.19,3.24,3.21,1.53,586
3.19,3.24,3.2,1.53,587
3.19,3.24,3.2,1.53,588
3.18,3.24,3.2,1.53,589
3.18,3.24,3.21,1.53,590
3.18,3.24,3.2,1.53,591
3.18,3.23,3.2,1.53,592
3.18,3.24,3.2,1.53,593
3.18,3.24,3.2,1.53,594
3.18,3.24,3.2,1.53,595
3.18,3.24,3.2,1.53,596
3.18,3.24,3.2,1.53,597
3.18,3.23,3.2,1.53,598
3.18,3.23,3.2,1.53,599
3.18,3.23,3.21,1.53,600
3.18,3.24,3.2,1.53,601
3.19,3.24,3.2,1.53,602
3.19,3.23,3.21,1.53,603
3.19,3.24,3.2,1.53,604
3.19,3.24,3.21,1.53,605
3.19,3.24,3.21,1.53,606
3.19,3.24,3.21,1.53,607
3.19,3.24,3.21,1.53,608
3.19,3.24,3.21,1.53,609
3.19,3.24,3.21,1.53,610
3.19,3.24,3.21,1.53,611
3.19,3.24,3.21,1.53,612
3.19,3.24,3.21,1.53,613
3.19,3.24,3.21,1.53,614
3.19,3.24,3.21,1.53,615
3.19,3.24,3.21,1.53,616
3.19,3.24,3.21,1.53,617
3.18,3.24,3.2,1.53,618
3.18,3.24,3.21,1.53,619
3.18,3.24,3.21,1.53,620
3.18,3.24,3.21,1.53,621
3.18,3.24,3.21,1.53,622
3.19,3.24,3.21,1.53,623
3.19,3.24,3.21,1.53,624
3.19,3.24,3.21,1.53,625
3.19,3.24,3.21,1.53,626
3.2,3.24,3.21,1.54,627
3.19,3.24,3.22,1.54,628
3.2,3.24,3.22,1.53,629
3.2,3.24,3.22,1.53,630
3.2,3.24,3.21,1.54,631
3.19,3.25,3.21,1.54,632
3.2,3.24,3.22,1.54,633
3.2,3.25,3.22,1.54,634
3.2,3.25,3.22,1.54,635
3.2,3.25,3.22,1.54,636
3.2,3.25,3.22,1.54,637
3.2,3.25,3.22,1.54,638
3.2,3.25,3.22,1.54,639
3.2,3.25,3.22,1.54,640
3.2,3.25,3.22,1.54,641
3.2,3.25,3.22,1.54,642
3.2,3.25,3.22,1.54,643
3.2,3.25,3.22,1.54,644
3.21,3.25,3.22,1.54,645
3.21,3.25,3.22,1.54,646
3.21,3.25,3.23,1.54,647
3.21,3.25,3.22,1.54,648
3.21,3.26,3.23,1.54,649
3.21,3.26,3.23,1.54,650
3.21,3.26,3.23,1.55,651
3.21,3.26,3.23,1.54,652
3.21,3.26,3.23,1.55,653
3.21,3.26,3.23,1.55,654
3.21,3.26,3.23,1.55,655
3.21,3.26,3.23,1.55,656
3.21,3.26,3.23,1.54,657
3.21,3.26,3.23,1.54,658
3.21,3.26,3.23,1.54,659
3.21,3.26,3.23,1.54,660
3.21,3.26,3.23,1.55,661
3.21,3.26,3.23,1.55,662
3.2,3.26,3.23,1.54,663
3.2,3.26,3.23,1.55,664
3.21,3.26,3.23,1.54,665
3.21,3.26,3.23,1.54,666
3.2,3.26,3.23,1.54,667
3.2,3.26,3.23,1.55,668
3.2,3.26,3.23,1.55,669
3.21,3.26,3.23,1.55,670
3.21,3.26,3.23,1.55,671
3.21,3.26,3.23,1.55,672
3.21,3.26,3.23,1.55,673
3.21,3.26,3.23,1.55,674
3.21,3.26,3.23,1.55,675
3.21,3.26,3.23,1.55,676
3.21,3.26,3.23,1.55,677
3.21,3.26,3.23,1.55,678
3.21,3.26,3.23,1.55,679
3.21,3.26,3.23,1.54,680
3.21,3.26,3.23,1.54,681
3.21,3.26,3.23,1.55,682
3.2,3.26,3.23,1.54,683
3.21,3.26,3.23,1.54,684
3.2,3.26,3.23,1.54,685
3.2,3.26,3.23,1.54,686
3.21,3.26,3.23,1.54,687
3.2,3.26,3.23,1.54,688
3.21,3.26,3.23,1.54,689
3.2,3.26,3.23,1.55,690
3.21,3.26,3.23,1.54,691
3.21,3.26,3.23,1.55,692
3.21,3.26,3.23,1.54,693
3.21,3.26,3.23,1.55,694
3.21,3.26,3.23,1.54,695
3.21,3.26,3.23,1.54,696
3.21,3.26,3.23,1.55,697
3.21,3.26,3.24,1.54,698
3.21,3.26,3.24,1.55,699
3.21,3.26,3.23,1.54,700
3.21,3.26,3.23,1.54,701
3.21,3.26,3.23,1.54,702
3.2,3.26,3.23,1.54,703
3.2,3.26,3.23,1.54,704
3.2,3.26,3.23,1.54,705
3.2,3.26,3.23,1.54,706
3.21,3.26,3.23,1.54,707
3.21,3.26,3.23,1.54,708
3.21,3.26,3.24,1.54,709
3.21,3.26,3.23,1.54,710
3.21,3.26,3.23,1.54,711
3.21,3.26,3.23,1.54,712
3.21,3.26,3.23,1.55,713
3.2,3.26,3.23,1.54,714
3.2,3.26,3.23,1.54,715
3.2,3.26,3.23,1.54,716
3.2,3.26,3.23,1.54,717
3.2,3.26,3.23,1.54,718
3.2,3.26,3.23,1.54,719
3.2,3.26,3.23,1.54,720
3.2,3.26,3.23,1.55,721
3.21,3.26,3.23,1.54,722
3.21,3.26,3.23,1.54,723
3.2,3.26,3.23,1.54,724
3.21,3.26,3.23,1.55,725
3.2,3.26,3.23,1.55,726
3.21,3.26,3.24,1.55,727
3.21,3.26,3.23,1.55,728
3.21,3.26,3.23,1.55,729
3.2,3.26,3.23,1.55,730
3.2,3.26,3.23,1.54,731
3.21,3.26,3.23,1.55,732
3.21,3.26,3.23,1.55,733
3.2,3.26,3.23,1.55,734
3.21,3.26,3.24,1.55,735
3.21,3.26,3.23,1.55,736
3.21,3.26,3.23,1.55,737
3.21,3.26,3.24,1.55,738
3.21,3.26,3.24,1.55,739
3.21,3.26,3.23,1.55,740
3.21,3.26,3.24,1.55,741
3.21,3.26,3.24,1.55,742
3.21,3.26,3.24,1.55,743
3.21,3.26,3.24,1.55,744
3.21,3.26,3.24,1.55,745
3.21,3.26,3.24,1.55,746
3.21,3.26,3.24,1.55,747
3.21,3.26,3.24,1.55,748
3.21,3.26,3.24,1.55,749
3.21,3.26,3.24,1.55,750
3.21,3.26,3.24,1.55,751
3.21,3.26,3.24,1.55,752
3.22,3.26,3.25,1.55,753
3.21,3.27,3.24,1.55,754
3.22,3.26,3.24,1.55,755
3.22,3.26,3.25,1.55,756
3.22,3.27,3.25,1.55,757
3.22,3.27,3.24,1.56,758
3.22,3.27,3.25,1.55,759
3.22,3.27,3.25,1.56,760
3.22,3.27,3.25,1.56,761
3.22,3.27,3.25,1.55,762
3.22,3.27,3.25,1.55,763
3.22,3.27,3.25,1.55,764
3.23,3.27,3.25,1.55,765
3.22,3.27,3.25,1.56,766
3.23,3.27,3.25,1.55,767
3.23,3.27,3.25,1.55,768
3.22,3.27,3.25,1.55,769
3.23,3.27,3.25,1.56,770
3.23,3.28,3.25,1.55,771
3.23,3.28,3.25,1.56,772
3.23,3.28,3.26,1.55,773
